iso3,Country Name,Unit,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
LTU,Lithuania,US$ Mn,102,345,399,504,591,430,425,556,700,834,,,,,,,,,,
LUX,Luxembourg,US$ Mn,,,,,,,,2547,3149,3880,,,,,,4559,4987,5273,5652,5488
MAC,Macao,US$ Mn,3233,3085,2876,2648,2598,3205,3745,4428,5225,7431,8190,10055,13733,17297,18445,28214,38984,44368,52389,51556
MDG,Madagascar,US$ Mn,106,102,110,136,137,152,149,109,119,239,190,248,290,357,262,319,479,563,578,
MWI,Malawi,US$ Mn,22,31,32,25,42,29,40,45,66,74,48,45,43,43,46,45,36,35,33,36
MYS,Malaysia,US$ Mn,5044,5732,4925,3237,4403,5873,7627,8084,6799,9183,10389,12280,17948,18553,17231,,,,,
MDV,Maldives,US$ Mn,,,,,,,,,,,,,,,,,1966,2032,2424,2772
MLI,Mali,US$ Mn,26,27,25,28,36,47,91,105,136,142.3,149.2,175.4,227,286,196,208,218,144,178.2,
MLT,Malta,US$ Mn,813,780,789,818,841,731,704,757,869,949,924,966,1185,,,,,,,
MHL,Marshall Islands,US$ Mn,3,3,3,3,2.9,3,3.1,3.4,4,5,3.69,3.57,3.28,2.71,3.08,3.7,4.78,4.09,4.3,5.4
MTQ,Martinique,US$ Mn,384,382,400,415,404,302,245,237,247,291,280,384,409,463,420,472,516,462,484,483
MRT,Mauritania,US$ Mn,,,,,,,,,,,,,,,,,,50,50,42
MUS,Mauritius,US$ Mn,616,705,666,672,718,732,820,829,960,1156,1189,1302,1663,1823,1390,1585,1808,1778,1593,1719
MEX,Mexico,US$ Mn,6847,7531,8184,8307,8135,9133,9190,9547,10058,11610,12801,13329,14055,14726,12542,12628,12458,13320,14311,16607
FSM,Micronesia Federated States of,US$ Mn,,,16,13,14,17,15,17,17,19,21,23,25,27,,,,,,
MNG,Mongolia,US$ Mn,33,20,25,47,43,43,49,143,154,205,203,261,354,272,253,288,258,480,228,215
MNE,Montenegro,US$ Mn,,,,,,,,,,,,,660,859,792,765,926,860,929,959
MAR,Morocco,US$ Mn,1469,1857,1649,1934,2177,2280,2966,3157,3802,4540,5426,6900,8307,8885,7980,8176,9101,8491,8201,
MOZ,Mozambique,US$ Mn,,,,,,,,65,106,96,138,145,182,213,217,135,171,224,228,225
MMR,Myanmar,US$ Mn,169,215,183,196,222,195,132,136,70,97,83,59,97,80,75,91,334,550,964,1613
NAM,Namibia,US$ Mn,,,,,,193,264,251,383,426,363,473,542,484,511,560,645,598,524,517
NPL,Nepal,US$ Mn,232,237,201,248,229,219,191,134,232,260,160,157,234,353,439,378,415,379,460,502
NLD,Netherlands,US$ Mn,10611,11497,11750,11923,12452,11285,11147,11745,14603,16495,,,,,,,,,,
NIC,Nicaragua,US$ Mn,51,55,82,103,128,,,,,,,,,,,,,,,
NER,Niger,US$ Mn,,26,29,,,,,20.2,27.5,32.3,43.9,39,44,86,69,105.5,54,51,59,
NGA,Nigeria,US$ Mn,47,58,83,81,99,186,168,256,58,49,139,209,337,959,791,736,688,639,616,601
NIU,Niue,US$ Mn,2,1,2,1,,,,,1.3,1,1.2,1.1,1.6,2,1.7,2.2,,,,
MNP,Northern Mariana Islands,US$ Mn,655,,,,,,,,,,,,,,,,,,,
NOR,Norway,US$ Mn,2730,2770,2570,2545,2751,2521,2380,2581,2989,3531,4243,4289,5322,5702,4949,5299,6565,6785,6554,6490
OMN,Oman,US$ Mn,,,,338,350,377,538,539,546,601,627,749,905,1105,1092,1256,1571,1781,1913,1949
PAK,Pakistan,US$ Mn,582,590,618,556,492,551,533,562,620,765,828,919,912,986,950,998,1127,1014,938,971
PLW,Palau,US$ Mn,,,,,,,,,,,63,60,68,78,76,76,94,109,117,131
PAN,Panama,US$ Mn,372,432,471,492,506,628,665,710,804,903,1108,1425,1806,2208,2280,2621,3630,4534,5119,5490
PNG,Papua New Guinea,US$ Mn,,,,,,,,,4.9,7.1,9.4,3.93,4.5,3.7,,2.4,5.1,,3.7,2.8
PRY,Paraguay,US$ Mn,162,159,145,128,95,88,91,76,81,87,96,112,121,128,225,243,261,291,299,314
PER,Peru,US$ Mn,521,773,911,947,911,861,763,836,1023,1232,1438,1775,2007,2396,2440,2475,2814,3074,3925,3831
PHL,Philippines,US$ Mn,1141,1551,2347,1431,2652,2334,2011,2018,1821,2390,2863,4051,5523,3293,2916,3441,4053,4963,5599,6052
POL,Poland,US$ Mn,6927,8764,9053,8321,6498,6128,5121,4971,4733,6499,7128,8122,11686,12895,9889,10037,11649,11888,12432,12311
PRT,Portugal,US$ Mn,5646,5572,5415,6390,6046,6027,6236,6595,7634,8858,9042,10482,12948,14072,12344,12985,14901,14582,16210,17784
PRI,Puerto Rico,US$ Mn,1828,1898,2046,2233,2139,2388,2728,2486,2677,3024,3239,3369,3414,3535,3176,3211,3143,3193,3334,3438
QAT,Qatar,US$ Mn,,,,,,,,,,,,,,,,,4463,7220,8452,10576
